"";"Methode";"alpha";"beta";"sigma2"
"399";"Bayes";-0,00119003523569272;0,967479492076252;0,469260727348874
"400";"Moy";-0,0753322487847351;0,536184512275636;0,0668408748612143
"401";"Reg. Lin.";0,0504253416385523;0,899285447198092;0,0455260285924357
"402";"Reg. Lin. Sto.";0,0485560076472834;0,897085693010902;0,162070696544335
"403";"EM";0,0354760121868312;1,15060146096903;0,131756540527465
"404";"Boot";0,101905335647857;1,14720557914775;0,162417009091814
"405";"Bayes";0,00212194206652334;0,967144406221274;0,483532713286535
"406";"Moy";0,290541722813354;0,62552800463238;0,0793116494213772
"407";"Reg. Lin.";0,0944284516277133;1,13768429667153;0,0435267226232843
"408";"Reg. Lin. Sto.";0,0984209867635285;1,13389041788831;0,146534951037511
"409";"EM";-0,0237113487932306;0,979725839636349;0,150826111030597
"410";"Boot";-0,0588820004424303;1,0176446410255;0,217182745094159
"411";"Bayes";0,000323106399875704;0,972590804727559;0,469169612586872
"412";"Moy";-0,234985236268776;0,618497748430162;0,0680428983963844
"413";"Reg. Lin.";-0,0639714959413852;0,972990271852658;0,0492299029135659
"414";"Reg. Lin. Sto.";-0,0596212598683265;0,971095808370756;0,174565016113641
"415";"EM";-0,0138099640995597;0,92254196369795;0,159715003342934
"416";"Boot";-0,0394810868284103;0,966658231587518;0,215693426393865
"417";"Bayes";-0,000437664988020338;0,969797509711371;0,479576877161455
"418";"Moy";-0,0669650867360225;0,633499865035521;0,068699081430711
"419";"Reg. Lin.";-0,0359755819449064;0,922038718216741;0,0488788354024107
"420";"Reg. Lin. Sto.";-0,0356167982123098;0,92061560123851;0,186580034175792
"421";"EM";-0,04869462438114;0,953514874598443;0,170374047958546
"422";"Boot";-0,111541862837465;0,98345432820438;0,230156688944579
"423";"Bayes";0,000426073149509073;0,981503015187402;0,50943459273288
"424";"Moy";-0,127403486504377;0,697777135850032;0,0615223963303405
"425";"Reg. Lin.";-0,126644687191692;0,952450039065277;0,0494420463414657
"426";"Reg. Lin. Sto.";-0,127595147772993;0,956425202948048;0,198157710889729
"427";"EM";-0,0359982827956222;0,941958832108106;0,155358655028813
"428";"Boot";-0,113310784738074;0,935392563122092;0,212430262959632
"429";"Bayes";-0,00068826281843455;0,969345880550899;0,497878250203323
"430";"Moy";-0,191217879333601;0,631828071560758;0,0686733268480482
"431";"Reg. Lin.";-0,0942458235337209;0,936063162846686;0,0473256524889798
"432";"Reg. Lin. Sto.";-0,0956789207858942;0,935414889264669;0,178719596889525
"433";"EM";0,0143552143526532;0,947266156873439;0,0996671984611891
"434";"Boot";0,0218084481820597;0,94006261457641;0,130082784340026
"435";"Bayes";0,00144463025093096;0,943323100043047;0,392272349024791
"436";"Moy";-0,0149517366167541;0,679406277722644;0,0643740962175619
"437";"Reg. Lin.";0,037588519131241;0,948536196224054;0,0389584115083489
"438";"Reg. Lin. Sto.";0,0355009777117638;0,948267915769655;0,109521077010045
"439";"EM";-0,00359587721927554;1,10376247979001;0,0982100955333176
"440";"Boot";-0,0153578070986938;1,11228764320815;0,130223903476619
"441";"Bayes";0,000725143300129704;0,95439630598576;0,418094576877562
"442";"Moy";0,044067277508086;0,625022905682304;0,0748582074529044
"443";"Reg. Lin.";-0,009347989478927;1,10397842962946;0,0380496787612144
"444";"Reg. Lin. Sto.";-0,0105340993152903;1,10909856637228;0,107824295741686
"445";"EM";-0,00464532728062077;1,05408741271613;0,151805504538148
"446";"Boot";-0,0630459349152287;1,01810830581437;0,213499022736549
"447";"Bayes";0,00192067125264498;0,970404480112852;0,490918268840878
"448";"Moy";-0,162733781961839;0,700862568996885;0,0732937793890658
"449";"Reg. Lin.";-0,0122061223677615;1,05360403410954;0,0479982584046039
"450";"Reg. Lin. Sto.";-0,00996391923033828;1,0614423204589;0,175245295128972
"451";"EM";0,0116779462352249;0,928451530242721;0,150246533386771
"452";"Boot";0,0189559931811779;0,907257605794808;0,207108293763707
"453";"Bayes";0,00268965651581202;0,957399266551304;0,464919123225254
"454";"Moy";-0,0495623832516433;0,570795585396135;0,074810383715817
"455";"Reg. Lin.";0,0305372983554932;0,930512584761937;0,0468205117679097
"456";"Reg. Lin. Sto.";0,0273487437981424;0,926873827680648;0,171972917434769
